Horas_Estudio,Asistencia,Involucramiento_Padres,Acceso_a_Recursos,Actividades_Extracurriculares,Horas_Sueño,Puntajes_Anteriores,Nivel_Motivacion,Acceso_a_Internet,Sesiones_Tutorias,Ingreso_Familiar,Calidad_Maestro,Tipo_Escuela,Influencias_Compañeros,Actividad_Fisica,Discapacidad_de_Aprendizaje,Nivel_Educacion_Padres,Distancia_Hogar,Genero,Puntaje_Examen
9.0,82.0,Media,Media,Si,8.0,72.0,Media,Si,2.0,Media,Media,Privada,Positivo,3.0,No,Posgrado,Cerca,Masculino,66.0
10.0,78.0,Media,Desconocido,Si,8.0,74.0,Media,Si,1.0,Baja,Media,Privada,Neutral,4.0,No,Posgrado,Cerca,Masculino,65.0
17.0,68.0,Media,Media,No,8.0,70.0,Media,Si,2.0,Media,Media,Privada,Positivo,4.0,No,Preparatoria,Cerca,Femenino,64.0
14.0,60.0,Media,Baja,Si,10.0,65.0,Baja,Si,0.0,Desconocido,Media,Privada,Desconocido,0,No,Desconocido,Cerca,Masculino,60.0
22.0,70.0,Desconocido,Media,Si,6.0,82.0,Media,Si,1.0,Baja,Alta,Publica,Neutral,3.0,No,Preparatoria,Cerca,Femenino,65.0
15.0,80.0,Media,Media,Si,9.0,91.0,Baja,Desconocido,3.0,Baja,Media,Publica,Positivo,0,No,Desconocido,Moderado,Femenino,67.0
12.0,75.0,Media,Alta,Si,7.0,58.0,Media,Si,3.0,Media,Media,Privada,Positivo,4.0,No,Universidad,Cerca,Masculino,66.0
29.0,78.0,Media,Media,No,5.0,99.0,Alta,Si,0.0,Alta,Media,Publica,Negativa,1.0,No,Preparatoria,Moderado,Femenino,69.0
0,99.0,Media,Alta,No,6.0,84.0,Media,Si,1.0,Media,Alta,Publica,Neutral,3.0,No,Preparatoria,Cerca,Masculino,72.0
20.0,0,Media,Alta,No,8.0,0,Baja,Si,1.0,Media,Media,Publica,Negativa,2.0,No,Universidad,Moderado,Femenino,66.0
11.0,78.0,Alta,Media,Desconocido,8.0,100.0,Alta,Si,1.0,Baja,Media,Desconocido,Neutral,3.0,No,Preparatoria,Moderado,Masculino,66.0
17.0,0,Baja,Alta,Si,5.0,75.0,Media,Si,2.0,Baja,Media,Publica,Positivo,3.0,No,Preparatoria,Cerca,Femenino,63.0
21.0,62.0,Alta,Baja,Si,6.0,54.0,Alta,Si,0.0,Alta,Alta,Publica,Positivo,3.0,No,Posgrado,Lejos,Masculino,64.0
13.0,91.0,Baja,Media,No,0.0,90.0,Media,Si,1.0,Alta,Media,Publica,Desconocido,2.0,Si,Preparatoria,Moderado,Desconocido,65.0
22.0,83.0,Alta,Desconocido,Si,6.0,94.0,Media,Si,0.0,Alta,Media,Publica,Neutral,2.0,No,Universidad,Moderado,Masculino,71.0
16.0,90.0,Media,Media,No,4.0,58.0,Media,Si,1.0,Baja,Media,Publica,Neutral,3.0,No,Preparatoria,Moderado,Femenino,66.0
18.0,66.0,Alta,Alta,No,4.0,51.0,Desconocido,Si,2.0,Baja,Media,Privada,Neutral,2.0,No,Universidad,Cerca,Masculino,64.0
16.0,83.0,Baja,Desconocido,No,6.0,57.0,Media,Si,0.0,Alta,Baja,Publica,Positivo,4.0,Desconocido,Preparatoria,Cerca,Femenino,63.0
31.0,70.0,Media,Alta,Si,7.0,66.0,Media,Si,1.0,Desconocido,Media,Desconocido,Negativa,3.0,No,Universidad,Cerca,Masculino,69.0
20.0,69.0,Media,Media,Si,8.0,96.0,Media,Desconocido,2.0,Media,Alta,Publica,Positivo,3.0,No,Preparatoria,Cerca,Masculino,67.0
14.0,60.0,Alta,Media,No,5.0,50.0,Media,Si,2.0,Media,Media,Publica,Neutral,3.0,No,Universidad,Desconocido,Femenino,61.0
25.0,65.0,Alta,Media,No,5.0,90.0,Media,Si,2.0,Media,Media,Publica,Positivo,3.0,No,Universidad,Moderado,Femenino,68.0
13.0,72.0,Baja,Media,No,6.0,93.0,Baja,Si,1.0,Baja,Media,Publica,invalid,3.0,No,Preparatoria,Cerca,Masculino,61.0
21.0,65.0,Media,Baja,Si,7.0,91.0,Baja,Si,2.0,Media,Alta,Publica,Positivo,3.0,No,Preparatoria,Lejos,Femenino,64.0
8.0,0,Media,Media,No,9.0,54.0,Baja,Si,2.0,Baja,Media,Publica,Neutral,5.0,No,Posgrado,Cerca,Femenino,67.0
12.0,72.0,Baja,Media,Si,8.0,84.0,Media,Si,1.0,Baja,Media,Publica,Positivo,5.0,No,Desconocido,Cerca,Femenino,63.0
21.0,0,Baja,Media,Si,6.0,98.0,Baja,Si,1.0,Media,Alta,Publica,Negativa,4.0,No,Preparatoria,Cerca,Masculino,64.0
24.0,68.0,Alta,Media,No,8.0,56.0,Baja,Si,3.0,Alta,Alta,Publica,Neutral,1.0,No,Universidad,Cerca,Desconocido,67.0
21.0,84.0,Media,Media,Desconocido,6.0,52.0,Baja,Si,1.0,Media,Alta,Publica,Neutral,2.0,Si,Universidad,Lejos,Femenino,0.0
19.0,63.0,Baja,Alta,No,7.0,94.0,Media,Si,1.0,Media,Media,Desconocido,Positivo,3.0,No,Preparatoria,Moderado,Masculino,64.0
18.0,94.0,Media,Alta,Si,7.0,82.0,Media,Si,3.0,Media,Media,Privada,Negativa,2.0,Si,Universidad,Cerca,Masculino,70.0
11.0,98.0,Media,Media,Desconocido,9.0,82.0,Baja,Si,1.0,Desconocido,Media,Privada,Positivo,3.0,Desconocido,Posgrado,Lejos,Desconocido,0.0
16.0,70.0,Media,Media,Si,0.0,98.0,Media,Si,2.0,Media,Media,Publica,Positivo,3.0,No,Preparatoria,Moderado,Masculino,65.0
17.0,78.0,Media,Media,Si,6.0,88.0,Media,Si,1.0,Media,Alta,Privada,Positivo,0,No,Universidad,Cerca,Femenino,68.0
26.0,61.0,Media,Baja,Si,6.0,70.0,Media,Si,2.0,Baja,Media,Publica,Positivo,3.0,No,Preparatoria,Moderado,Femenino,64.0
22.0,86.0,Baja,Media,Si,0.0,72.0,Baja,Si,3.0,Desconocido,Alta,Publica,Positivo,2.0,No,Preparatoria,Moderado,Masculino,0.0
9.0,77.0,Media,Desconocido,No,5.0,57.0,Desconocido,Si,2.0,Media,Alta,Publica,Neutral,3.0,No,Preparatoria,Cerca,Masculino,63.0
22.0,71.0,Baja,Media,Si,7.0,65.0,Baja,Si,1.0,Media,Baja,Publica,Positivo,4.0,No,Universidad,Moderado,Masculino,64.0
18.0,68.0,Alta,Media,Desconocido,7.0,72.0,Media,Si,0.0,Media,Media,Publica,Neutral,3.0,No,Universidad,Cerca,Masculino,64.0
16.0,86.0,Baja,Media,Si,8.0,63.0,Media,Si,2.0,Desconocido,Media,Publica,Positivo,4.0,No,Preparatoria,Cerca,Masculino,67.0
24.0,77.0,Alta,Baja,No,8.0,96.0,Media,Si,0.0,Desconocido,Media,Publica,Neutral,3.0,No,Preparatoria,Cerca,Femenino,67.0
26.0,67.0,Media,Alta,Si,7.0,51.0,Baja,Si,2.0,Alta,Alta,Privada,Neutral,4.0,Si,Posgrado,Lejos,Femenino,66.0
0,88.0,Media,Alta,Desconocido,5.0,0,Media,Si,1.0,Desconocido,Alta,Privada,Positivo,4.0,No,Universidad,Moderado,Masculino,72.0
15.0,83.0,Media,Alta,No,5.0,89.0,Baja,No,1.0,Media,Alta,Publica,Neutral,2.0,Si,Preparatoria,Cerca,Femenino,65.0
0,94.0,Media,Media,Desconocido,6.0,87.0,Alta,Si,1.0,Media,Media,Publica,Positivo,4.0,No,Preparatoria,Cerca,Masculino,71.0
22.0,65.0,Alta,Baja,No,8.0,82.0,Media,Si,2.0,Media,Alta,Publica,Desconocido,1.0,No,Posgrado,Cerca,Femenino,66.0
26.0,91.0,Media,Baja,Si,8.0,71.0,Media,Si,0.0,Baja,Media,Privada,Desconocido,3.0,No,Preparatoria,Moderado,Masculino,68.0
17.0,87.0,Media,Media,No,7.0,96.0,Media,Si,1.0,Alta,Desconocido,Publica,Negativa,5.0,No,Posgrado,Cerca,Femenino,70.0
19.0,65.0,Media,Media,Si,10.0,66.0,Baja,Desconocido,0.0,Baja,Media,Publica,Positivo,3.0,No,Preparatoria,Moderado,Masculino,62.0
13.0,0,Baja,Alta,Si,9.0,88.0,Alta,Si,2.0,Baja,Alta,Privada,Desconocido,4.0,No,Posgrado,Lejos,Masculino,68.0
13.0,78.0,Media,Alta,Si,0.0,96.0,Alta,Desconocido,2.0,Baja,Media,Publica,Neutral,3.0,No,Universidad,Moderado,Masculino,67.0
25.0,98.0,Baja,Alta,Si,0.0,56.0,Media,No,0.0,Media,Alta,Privada,Neutral,3.0,No,Posgrado,Cerca,Masculino,71.0
28.0,66.0,Media,Alta,Si,8.0,97.0,Media,Si,0.0,Desconocido,Media,invalid,Desconocido,2.0,No,Preparatoria,Cerca,Masculino,68.0
20.0,86.0,Media,Media,Si,8.0,89.0,Media,Si,1.0,Baja,Media,Publica,Negativa,3.0,No,Posgrado,Cerca,Masculino,69.0
26.0,75.0,Baja,Desconocido,Si,0.0,81.0,Alta,Si,3.0,Desconocido,Alta,Desconocido,Positivo,2.0,No,Preparatoria,Moderado,Masculino,70.0
22.0,98.0,Media,Alta,No,5.0,69.0,Baja,No,1.0,Baja,Alta,Publica,Negativa,4.0,No,Preparatoria,Moderado,Femenino,69.0
16.0,73.0,Media,Media,No,7.0,95.0,Media,Si,1.0,Baja,Media,Publica,Negativa,4.0,No,Universidad,Cerca,Masculino,65.0
22.0,98.0,Media,Baja,Si,7.0,52.0,Media,No,3.0,Media,Media,Publica,Positivo,3.0,No,Universidad,Cerca,Femenino,70.0
29.0,0,Media,Baja,Si,7.0,0,Media,Desconocido,1.0,Baja,Desconocido,Publica,Positivo,0,No,Preparatoria,Moderado,Masculino,71.0
20.0,71.0,Media,Media,Si,7.0,88.0,Media,Si,1.0,Baja,Baja,Publica,Neutral,4.0,No,Universidad,Cerca,Desconocido,65.0
29.0,92.0,Baja,Media,No,4.0,91.0,Media,Si,2.0,Media,Media,Publica,Negativa,0,No,Posgrado,Cerca,Femenino,72.0
4.0,100.0,Alta,Alta,Si,8.0,60.0,Alta,Si,0.0,Media,Alta,Desconocido,Positivo,4.0,No,Universidad,Moderado,Masculino,69.0
25.0,70.0,Media,Media,No,7.0,52.0,Media,Si,1.0,Media,Media,Publica,Positivo,3.0,No,Desconocido,Cerca,Femenino,66.0
21.0,77.0,Baja,Media,Si,0.0,90.0,Media,Si,4.0,Media,Media,Privada,Neutral,3.0,No,Posgrado,Moderado,Masculino,68.0
18.0,invalid,Alta,Baja,Si,8.0,71.0,Media,Si,0.0,Media,Media,Publica,Desconocido,3.0,No,Preparatoria,Moderado,Femenino,65.0
21.0,72.0,Media,Media,Si,5.0,57.0,Media,Si,1.0,Alta,Media,Publica,Neutral,5.0,Si,Desconocido,Moderado,Masculino,64.0
8.0,61.0,Media,Media,Si,7.0,54.0,Media,Si,1.0,Alta,Media,Publica,Positivo,3.0,No,Universidad,Cerca,Masculino,60.0
19.0,69.0,Media,Alta,Si,7.0,82.0,Desconocido,Si,1.0,Baja,Desconocido,Publica,Negativa,2.0,Desconocido,Preparatoria,Desconocido,Masculino,65.0
0,71.0,Alta,Media,No,6.0,79.0,Alta,Si,1.0,Baja,Baja,Publica,Positivo,3.0,No,Preparatoria,Cerca,Masculino,66.0
29.0,78.0,Alta,Alta,Si,4.0,93.0,Baja,Si,5.0,Media,Alta,Publica,Neutral,3.0,No,Universidad,Cerca,Masculino,74.0
17.0,67.0,Media,Media,Si,5.0,52.0,Alta,Si,2.0,Media,Media,Privada,Negativa,0,No,Preparatoria,Lejos,Femenino,0.0
15.0,95.0,Media,Media,No,0.0,93.0,Media,Si,2.0,Baja,Media,Publica,Positivo,4.0,No,Universidad,Moderado,Masculino,70.0
17.0,88.0,Media,Alta,Si,7.0,94.0,Desconocido,Si,0.0,Media,Media,Publica,Neutral,3.0,No,Preparatoria,Cerca,Masculino,69.0
25.0,63.0,Media,Alta,Si,7.0,72.0,Media,Si,3.0,Media,Alta,Privada,Negativa,4.0,No,Universidad,Lejos,Masculino,67.0
22.0,86.0,Baja,Baja,No,6.0,54.0,Media,Si,0,Media,Media,Publica,Neutral,0.0,No,Desconocido,Moderado,Masculino,64.0
17.0,86.0,Media,Alta,No,5.0,97.0,Alta,Si,3.0,Alta,Media,Publica,Neutral,3.0,No,Universidad,Cerca,Masculino,71.0
23.0,98.0,Media,Baja,Si,7.0,0,Baja,Si,0.0,Media,Media,Publica,Negativa,3.0,No,Universidad,Cerca,Femenino,68.0
21.0,60.0,Alta,Media,No,7.0,80.0,Media,Si,0.0,Media,Alta,Publica,Neutral,0,Si,Universidad,Cerca,Masculino,64.0
26.0,70.0,Media,Baja,Si,8.0,75.0,Media,Si,1.0,Media,Baja,Privada,Neutral,4.0,Si,Preparatoria,Lejos,Femenino,63.0
16.0,97.0,Desconocido,Media,Si,0.0,92.0,Baja,Desconocido,0.0,Alta,Media,Privada,Positivo,4.0,No,Desconocido,Cerca,Masculino,71.0
18.0,97.0,Alta,Media,Si,4.0,75.0,Baja,Si,0.0,Baja,Media,Desconocido,Positivo,3.0,No,Preparatoria,Moderado,Masculino,69.0
18.0,89.0,Alta,Desconocido,Si,4.0,73.0,Desconocido,Si,3.0,Alta,Media,Privada,Positivo,2.0,No,Universidad,Desconocido,Femenino,100.0
11.0,91.0,Media,Desconocido,No,6.0,94.0,Media,Si,3.0,Media,Media,Publica,Neutral,3.0,No,Universidad,Moderado,Masculino,68.0
22.0,64.0,Baja,Media,Desconocido,7.0,98.0,Baja,No,1.0,Media,Media,Publica,Negativa,3.0,No,Preparatoria,Cerca,Masculino,62.0
22.0,81.0,Media,Media,Si,7.0,77.0,Baja,Si,2.0,Media,Media,Publica,Positivo,3.0,Desconocido,Posgrado,Lejos,Femenino,68.0
20.0,69.0,Alta,Alta,Si,6.0,73.0,Media,Si,2.0,Baja,Media,Privada,Positivo,3.0,No,Preparatoria,Lejos,Masculino,66.0
0,0,Baja,Media,No,5.0,92.0,Alta,Si,0.0,Media,Media,Publica,Positivo,3.0,No,Universidad,Cerca,Masculino,64.0
12.0,92.0,Media,Media,Desconocido,4.0,92.0,Alta,Si,2.0,Media,Alta,Publica,Neutral,3.0,Si,Preparatoria,Moderado,Masculino,67.0
17.0,65.0,Media,Alta,Si,8.0,66.0,Media,Si,1.0,Alta,Alta,Publica,Neutral,4.0,Si,Posgrado,Moderado,Desconocido,0.0
18.0,79.0,Media,Media,Si,7.0,79.0,Media,Si,0.0,Desconocido,Alta,Privada,Neutral,3.0,No,Universidad,Lejos,Masculino,65.0
15.0,98.0,Alta,Media,No,0.0,58.0,Desconocido,Desconocido,0.0,Baja,Alta,Publica,Positivo,3.0,No,Universidad,Cerca,Masculino,69.0
19.0,67.0,Media,Media,No,5.0,0,Alta,Desconocido,1.0,Baja,Baja,Privada,Negativa,3.0,No,Preparatoria,Desconocido,Masculino,63.0
22.0,99.0,Media,Baja,Si,6.0,92.0,Baja,Si,3.0,Media,Media,Publica,Negativa,4.0,No,Posgrado,Desconocido,Masculino,72.0
31.0,100.0,Media,Media,No,7.0,59.0,Media,Si,2.0,Alta,Alta,Publica,Positivo,5.0,No,Posgrado,Moderado,Masculino,0.0
21.0,82.0,Media,Alta,Si,7.0,66.0,Alta,Si,3.0,Baja,Media,Publica,Positivo,3.0,Si,Universidad,Desconocido,Femenino,69.0
22.0,67.0,Desconocido,Media,Si,7.0,0,Alta,Si,3.0,Baja,Alta,Publica,Positivo,2.0,No,Posgrado,Desconocido,Femenino,67.0
20.0,73.0,Alta,Media,Si,9.0,92.0,Media,Si,2.0,Media,Alta,Publica,Positivo,3.0,No,Universidad,Cerca,Masculino,69.0
8.0,77.0,Alta,Media,Si,6.0,87.0,Media,Si,0.0,Baja,Media,Publica,Neutral,2.0,No,Preparatoria,Moderado,Masculino,63.0
20.0,72.0,Media,Media,No,9.0,66.0,Media,Si,3.0,Baja,Alta,Privada,Positivo,3.0,No,Posgrado,Cerca,Masculino,67.0
20.0,71.0,Baja,Alta,Si,7.0,62.0,Alta,Si,2.0,Media,Media,Publica,Negativa,5.0,No,Universidad,Cerca,Masculino,66.0
35.0,99.0,Alta,Alta,Si,7.0,85.0,Baja,Si,2.0,Media,Alta,Privada,Neutral,2.0,No,Posgrado,Cerca,Femenino,79.0
19.0,66.0,Media,Media,No,8.0,74.0,Media,Si,1.0,Alta,Media,Publica,Neutral,3.0,No,Preparatoria,Cerca,Femenino,64.0
22.0,89.0,Alta,Alta,Si,6.0,80.0,Media,Si,1.0,Alta,Alta,Publica,Desconocido,3.0,No,Preparatoria,Cerca,Femenino,73.0
20.0,60.0,Baja,Alta,No,7.0,82.0,Alta,Si,2.0,Baja,Alta,Publica,Positivo,4.0,Desconocido,Preparatoria,Desconocido,Masculino,63.0
13.0,84.0,Media,Media,No,5.0,78.0,Desconocido,Desconocido,1.0,Baja,Alta,Publica,Positivo,2.0,No,Preparatoria,Cerca,Masculino,65.0
27.0,0,Baja,Alta,Si,8.0,81.0,Media,Si,0.0,Alta,Media,Publica,Positivo,5.0,No,Preparatoria,Cerca,Femenino,73.0
25.0,72.0,Alta,Alta,Desconocido,8.0,94.0,Baja,Si,2.0,Desconocido,Media,Privada,Positivo,4.0,No,Desconocido,Moderado,Femenino,70.0
25.0,67.0,Alta,Media,No,9.0,93.0,Alta,Si,0,Baja,Alta,Publica,Positivo,3.0,Si,Preparatoria,Cerca,Femenino,68.0
15.0,86.0,Media,Media,Si,7.0,57.0,Media,Si,1.0,Media,Media,Publica,Negativa,0,No,Universidad,Cerca,Masculino,65.0
28.0,89.0,Baja,Alta,Si,9.0,79.0,Alta,Si,0.0,Baja,Media,Privada,Positivo,1.0,No,Universidad,Desconocido,Femenino,71.0
12.0,88.0,Baja,Media,No,6.0,72.0,Baja,Si,0,Media,Media,Publica,Positivo,2.0,No,Universidad,Lejos,Masculino,64.0
24.0,73.0,Media,Alta,Desconocido,8.0,64.0,Media,Si,4.0,Alta,Media,Privada,Neutral,3.0,Si,Universidad,Moderado,Masculino,68.0
33.0,70.0,Media,Media,Si,6.0,82.0,Baja,Si,1.0,Baja,Alta,Publica,Neutral,4.0,No,Desconocido,Cerca,Masculino,69.0
14.0,98.0,Media,Media,No,7.0,76.0,Media,Si,0.0,Media,Alta,Privada,Positivo,4.0,No,Universidad,Moderado,Femenino,69.0
17.0,97.0,Media,Desconocido,No,8.0,89.0,Media,Si,1.0,Baja,Desconocido,Publica,Neutral,4.0,No,Preparatoria,Lejos,Masculino,69.0
0,78.0,Media,Media,Si,10.0,55.0,Media,Si,1.0,Alta,Baja,Privada,Positivo,2.0,No,Universidad,Desconocido,Masculino,67.0
0,94.0,Baja,Media,Si,8.0,65.0,Baja,Si,4.0,Media,Media,Publica,Neutral,6.0,No,Preparatoria,Lejos,Femenino,68.0
11.0,78.0,Media,Alta,Si,8.0,51.0,Media,Si,2.0,Baja,Media,Publica,Neutral,3.0,No,Posgrado,Cerca,Masculino,64.0
20.0,77.0,Media,Media,No,6.0,0,Baja,Si,0,Baja,Desconocido,Publica,Positivo,4.0,No,Desconocido,Desconocido,Femenino,66.0
14.0,66.0,Alta,Baja,No,7.0,96.0,Media,Desconocido,0,Baja,Alta,Publica,Negativa,3.0,No,Preparatoria,Cerca,Masculino,63.0
23.0,77.0,Media,Media,Si,7.0,79.0,Media,Si,0.0,Baja,Alta,Publica,Neutral,2.0,No,Preparatoria,Moderado,Masculino,66.0
14.0,81.0,Media,Media,No,9.0,81.0,Media,Si,0,Baja,Alta,Privada,Negativa,3.0,No,Posgrado,Cerca,Desconocido,66.0
29.0,61.0,Media,Alta,Si,7.0,52.0,Baja,Si,3.0,Baja,Media,Desconocido,Positivo,3.0,No,Universidad,Cerca,Femenino,67.0
15.0,78.0,Alta,Alta,No,9.0,75.0,Baja,Si,1.0,Baja,Media,Publica,Negativa,1.0,No,Preparatoria,Cerca,Masculino,65.0
18.0,91.0,Baja,Media,Si,5.0,76.0,Media,Si,1.0,Media,Media,Publica,Neutral,3.0,No,Preparatoria,Cerca,Femenino,68.0
25.0,87.0,Media,Baja,No,9.0,52.0,Alta,Si,1.0,Baja,Desconocido,Privada,Positivo,2.0,No,Preparatoria,Cerca,Masculino,68.0
13.0,85.0,Alta,Desconocido,No,6.0,89.0,Media,Si,0.0,Alta,Media,Privada,Neutral,1.0,Si,Preparatoria,Cerca,Desconocido,65.0
21.0,96.0,Media,Media,No,8.0,0,Alta,Si,2.0,Desconocido,Alta,Publica,Neutral,0.0,No,Universidad,Cerca,Masculino,71.0
28.0,61.0,Media,Desconocido,No,6.0,86.0,Alta,Desconocido,1.0,Baja,Media,Privada,Negativa,3.0,Si,Posgrado,Lejos,Masculino,65.0
10.0,82.0,Media,Baja,No,8.0,70.0,Media,Si,3.0,Desconocido,Alta,Publica,Positivo,1.0,Si,Posgrado,Cerca,Femenino,64.0
21.0,91.0,Alta,Media,No,6.0,100.0,Media,Si,0.0,Alta,Media,Privada,Neutral,2.0,No,Posgrado,Cerca,Femenino,72.0
22.0,0,Media,Media,No,0.0,61.0,Media,Si,2.0,Baja,Media,Publica,Negativa,2.0,Si,Preparatoria,Cerca,Femenino,65.0
25.0,73.0,Media,Alta,No,8.0,53.0,Alta,No,0.0,Baja,Alta,Privada,Negativa,5.0,No,Posgrado,Cerca,Femenino,66.0
13.0,65.0,Baja,Alta,No,6.0,99.0,Media,Si,0.0,Baja,Media,Privada,Negativa,4.0,No,Preparatoria,Cerca,Masculino,61.0
12.0,0,Baja,Alta,Si,8.0,62.0,Media,Si,2.0,Media,Alta,Publica,Negativa,3.0,No,Universidad,Cerca,Femenino,68.0
23.0,79.0,Alta,Alta,Si,8.0,82.0,Baja,Si,3.0,Media,Media,Publica,Negativa,3.0,Si,Posgrado,Moderado,Femenino,69.0
22.0,95.0,Media,Alta,Si,6.0,69.0,Media,Si,1.0,Baja,Media,Publica,Positivo,3.0,No,Universidad,Cerca,Femenino,72.0
22.0,83.0,Media,Alta,Si,5.0,82.0,Media,Si,2.0,Baja,Alta,Publica,Positivo,3.0,No,Posgrado,Cerca,Femenino,71.0
22.0,87.0,Alta,Alta,No,5.0,80.0,Baja,Si,2.0,Baja,Alta,Publica,Negativa,0,Desconocido,Preparatoria,Cerca,Femenino,70.0
16.0,92.0,Desconocido,Alta,Si,5.0,85.0,Baja,Si,1.0,Baja,Media,Publica,Desconocido,2.0,Desconocido,Preparatoria,Moderado,Masculino,68.0
0,86.0,Baja,Media,Si,5.0,51.0,Media,Si,2.0,Baja,Alta,Publica,Positivo,2.0,No,Preparatoria,Moderado,Femenino,67.0
22.0,76.0,Media,Media,Si,8.0,92.0,Media,Si,1.0,Desconocido,Alta,Publica,Neutral,4.0,Desconocido,Preparatoria,Desconocido,Femenino,68.0
16.0,81.0,Media,Media,Si,8.0,74.0,Media,Si,3.0,Media,Media,Publica,Positivo,2.0,No,Posgrado,Cerca,Femenino,68.0
31.0,92.0,Media,Media,Si,4.0,76.0,Media,Si,2.0,Media,Alta,Publica,Positivo,4.0,Si,Preparatoria,Lejos,Masculino,72.0
23.0,0,Desconocido,Alta,No,6.0,71.0,Baja,Si,0.0,Media,Media,Publica,Neutral,2.0,No,Universidad,Cerca,Masculino,65.0
13.0,76.0,Media,Alta,No,5.0,99.0,Baja,Si,2.0,Media,Media,Privada,Positivo,0,Desconocido,Preparatoria,Cerca,Femenino,0.0
24.0,64.0,Media,Media,Si,8.0,90.0,Alta,Si,0.0,Baja,Desconocido,Publica,Negativa,3.0,No,Preparatoria,Cerca,Masculino,65.0
14.0,97.0,Media,Desconocido,Si,6.0,66.0,Media,Si,2.0,Desconocido,Media,Publica,Negativa,3.0,Si,Desconocido,Cerca,Femenino,67.0
25.0,64.0,Media,Alta,No,5.0,89.0,Baja,Si,2.0,Media,Media,Publica,Neutral,4.0,No,Universidad,Lejos,Masculino,66.0
27.0,86.0,Media,Media,No,7.0,72.0,Baja,Si,1.0,Media,Alta,Publica,Positivo,4.0,No,Preparatoria,Lejos,Masculino,69.0
15.0,77.0,Media,Media,Si,8.0,94.0,Baja,Si,0.0,Alta,Alta,Desconocido,Positivo,3.0,No,Universidad,Moderado,Masculino,66.0
26.0,76.0,Media,Alta,Si,6.0,52.0,Media,Si,4.0,Alta,Baja,Publica,Neutral,3.0,No,Preparatoria,Cerca,Masculino,69.0
22.0,87.0,Alta,Desconocido,Si,7.0,68.0,Media,No,0.0,Baja,Media,Publica,Neutral,2.0,No,Preparatoria,Desconocido,Masculino,67.0
0,63.0,Alta,Media,Si,6.0,71.0,Media,Si,1.0,Media,Baja,Privada,Positivo,3.0,No,Preparatoria,Cerca,Masculino,66.0
31.0,84.0,Media,Media,Desconocido,9.0,87.0,Media,Si,2.0,Baja,Media,Privada,Neutral,3.0,No,Universidad,Lejos,Masculino,71.0
19.0,91.0,Alta,Baja,No,0.0,59.0,Media,Si,5.0,Media,Alta,Publica,Neutral,4.0,No,Universidad,Moderado,Masculino,70.0
15.0,93.0,Alta,Media,No,6.0,64.0,Media,Si,2.0,Desconocido,Alta,Publica,Positivo,4.0,Desconocido,Posgrado,Cerca,Masculino,71.0
15.0,67.0,Media,Media,Si,7.0,86.0,Alta,Si,1.0,Alta,Media,Privada,Positivo,3.0,No,Posgrado,Cerca,Masculino,66.0
